cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i&o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,ssv2_execution_time,kinetics_execution_time
F12,24,Seq1,Seq1_24DPH_F12,500,2501,150040,,2501,55801,23757,0,0,58.8,19.7,82,8,,,,,0,0,0,0,0,14,0,0,0,0,32044,14,0,5.002666667,150080,TRUE,12.23809524,2.233937374,16,150080,21-26,400,0,0,0,0,0,0,0,0,0,40,101,29.98913333,32319.54101,16447.41057
F12,25,Seq1,Seq1_25DPH_F12,500,2501,150040,,2501,68889,33360,0,0,70,19.7,80,8.11,,,,,7,0,0,0,4,483,16,0,1,0,17089,500,0,2.432666667,72980,TRUE,14,2.549509757,18,72980,21-26,400,0,0,0,0,0,0,0,0,0,515,101,16.55146667,39531.76188,24576.09118
F13,5,Seq1,Seq1_05DPH_F13,500,2501,150040,,1598,2629,103,0,120,0,19,92,8.15,,,,,1,1,1,0,0,88,2,0,0,16,2526,106,0.140350877,5.002666667,150080,TRUE,0.666666667,0.730296743,2,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,108,81,10.7879,3768.994169,5138.209365
F13,5,Seq2,Seq2_05DPH_F13,528,2641,158440,,1252,1715,70,0,120,0,19,92,8.15,,,,,0,0,1,0,0,74,1,0,1,1,1645,77,0.011627907,5.002525253,158480,TRUE,0.428571429,0.597614305,2,158480,06-Nov,400,0,0,0,0,0,0,0,0,0,79,81,10.0207702,2792.676033,2725.165748
F13,8,Seq1,Seq1_08DPH_F13,500,2501,150040,,2232,16932,3362,0,250,0,19.1,92,8.2,,,,,2,1,0,1,0,491,8,0,0,1,4627,500,0.002,2.558666667,76760,TRUE,4.904761905,3.477136205,11,76760,06-Nov,400,0,0,0,0,0,0,0,0,0,559,81,12.09466667,11887.49992,13871.80079
F13,16,Seq1,Seq1_16DPH_F13,500,2501,150040,,338,396,19,0,268,15.8,19.1,81,7.96,,,,,0,0,0,0,0,37,0,0,0,0,377,37,0,5.002666667,150080,TRUE,0.190476191,0.402373908,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,44,81,19.89856667,1017.23289,1201.60979
F13,16,Seq2,Seq2_16DPH_F13,500,2501,150040,,233,249,4,0,268,15.8,19.1,81,7.96,,,,,0,0,0,0,0,25,0,0,0,0,245,25,0,5.002666667,150080,TRUE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,27,81,21.21176667,767.870723,909.9790812
F13,18,Seq1,Seq1_18DPH_F13,500,2501,150040,,1758,3793,292,0,224,8.4,18.7,75,7.99,,,,,51,6,0,1,0,384,54,0,6,56,1969,500,0.112,1.886666667,56600,TRUE,1.238095238,1.670471847,7,56600,Dec-20,400,0,0,0,0,0,0,0,0,0,518,81,20.01106667,4938.966432,4458.941603
F13,18,Seq2,Seq2_18DPH_F13,500,2501,150040,,1878,3707,210,0,224,8.4,18.7,75,7.99,,,,,0,0,0,0,0,0,0,0,0,0,2709,0,,4.308666667,129260,TRUE,1.571428571,1.247855303,4,129260,Dec-20,400,0,0,0,0,0,1,0,1,1,567,81,13.6502,4998.613145,4520.074736
F13,19,Seq1,Seq1_19DPH_F13,500,2501,150040,,772,1010,44,0,345,23,19.4,87,8.12,,,,,0,0,0,0,1,79,1,0,0,0,966,80,0,5.002666667,150080,TRUE,0.285714286,0.643650304,2,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,101,81,19.31583333,1759.527369,1802.46854
