,Unnamed: 0,cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i.o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,stat_strikes,sr,full_duration_frame
73,80,F10,24,Seq3,Seq3_24DPH_F10,500,2501,150040,5.001333333,1442,3678,277,0,0.0,70.0,20.5,89.0,8.15,20.3,,,,41,1,2,0,1,150,47,1,1,182,3401,381,0.477690289,5.00266666666667,150080,True,1.095238095,0.94365046,3,150080,21-25,400,0,0,0,0,1,0,0,1,1,435,101,8.615466667,1,11,258464
74,81,F18,24,Seq1,Seq1_24DPH_F18,500,2501,150040,5.001333333,1878,5175,436,0,0.0,56.35,20.4,93.0,8.02,20.3,,,,114,17,9,0,6,331,166,0,0,0,4739,497,0.0,5.00266666666667,150080,False,2.238095238,1.841324575,6,150080,21-25,400,0,0,0,0,0,0,0,0,0,584,51,6.111266667,0,0,183338
75,82,F15,28,Seq1,Seq1_28DPH_F15,500,2501,150040,5.001333333,2373,9549,1443,0,0.0,84.0,19.6,87.0,8.15,19.5,,,,70,11,1,0,0,124,71,2,7,0,8106,204,0.0,5.00266666666667,150080,True,2.857142857,1.982062418,7,150080,26-30,400,2,1,0,1,1,0,0,1,2,335,71,20.16246667,3,13,604874
76,83,F16,27,Seq1,Seq1_27DPH_F16,500,2501,150040,5.001333333,2444,10888,1485,0,0.0,87.5,20.1,107.0,7.9,20.5,,,,196,24,9,0,1,238,261,1,0,0,2404,500,0.0,1.19666666666667,35900,False,3.571428571,1.567527626,6,35900,26-30,400,0,0,0,0,1,0,0,1,1,540,21,5.110333333,1,14,153310
77,84,F03,23,Seq1,Seq1_23DPH_F03,750,3751,225040,5.000888889,1262,1546,102,0,370.0,46.5,21.1,91.85294118,7.85,,,,,0,0,0,0,0,4,1,2,0,0,1444,7,0.0,5.00177777777778,225080,True,0.333333333,0.483045892,1,225080,21-25,400,0,0,0,0,0,1,1,2,2,11,81,13.77453333,2,72,619854
78,85,F16,29,Seq3,Seq3_29DPH_F16,500,2501,150040,5.001333333,2499,6759,356,0,0.0,103.95,21.3,107.0,8.01,21.3,,,,64,8,1,0,5,274,92,0,0,134,6071,500,0.268,4.75666666666667,142700,False,2.619047619,1.499206139,6,142700,26-30,400,0,0,0,0,0,0,0,0,0,611,21,19.25863333,0,0,577759
79,86,F02,30,Seq3,Seq3_30DPH_F02,746,3731,223840,5.000893655,747,843,61,0,0.0,110.6,22.0,75.0,8.080340909,,,,,10,0,1,0,0,0,12,2,1,0,782,15,0.0,5.0017873100983,223880,True,0.285714286,0.643650304,2,223880,26-30,400,2,2,2,2,0,0,0,0,2,38,41,5.643610366,2,84,252608
80,87,F16,27,Seq2,Seq2_27DPH_F16,500,2501,150040,5.001333333,2329,7366,785,0,0.0,87.5,20.1,107.0,7.9,20.5,,,,195,19,4,0,0,244,253,1,2,0,2492,500,0.0,1.94266666666667,58280,False,2.238095238,1.578124263,5,58280,26-30,400,0,0,0,0,1,0,0,1,1,539,21,13.8444,1,14,415332
81,88,F12,23,Seq2,Seq2_23DPH_F12,500,2501,150040,5.001333333,1970,9611,1810,0,325.0,48.6,19.5,88.0,8.16,19.7,,,,3,0,0,0,0,479,10,2,0,9,2743,500,0.018,2.31266666666667,69380,True,3.142857143,1.8516402,8,69380,21-25,400,0,0,0,0,1,0,1,2,2,516,101,11.60696667,2,17,348209
82,89,F16,23,Seq2,Seq2_23DPH_F16,500,2501,150040,5.001333333,2498,15429,1913,0,345.0,48.6,19.9,100.0,8.01,19.8,,,,258,24,24,0,0,185,314,1,0,0,4539,500,0.0,1.68466666666667,50540,False,5.666666667,2.12916259,11,50540,21-25,400,0,0,0,0,1,0,0,1,1,534,21,19.9903,1,6,599709
83,90,F08,25,Seq1,Seq1_25DPH_F08,500,2501,150040,5.001333333,923,1480,107,0,0.0,53.9,21.2,93.0,8.06,21.3,0.025936457,0.032921766,0.041911064,11,0,0,0,0,48,10,1,1,11,1373,71,0.154929577,5.00266666666667,150080,False,0.619047619,0.973457265,4,150080,21-25,400,0,0,0,0,1,0,0,1,1,92,61,47.0519,1,19,1411557
